"","Gene","log2FC","pVal","qVal","Direction"
"154","ATL2",0.149677460423794,0.00621306370950848,0.0824281466519616,"UP"
"155","CHMP2A",0,1,1,"DOWN"
"156","GYS1",0,1,1,"DOWN"
"157","NUCB1",-0.147822403530266,0.160285847425008,0.405218636576694,"DOWN"
"158","SHANK2",1.71126201658965e-16,0.999999963219597,1,"UP"
"159","DOCK9",-0.0668740854021284,0.406399056990336,0.731724858647148,"DOWN"
"160","RAB3GAP1",0.0627293504203331,0.161197000114688,0.40607315406669,"UP"
"161","EFR3A",1.44778812839558e-18,0.999999997424165,1,"UP"
"162","2900026A02RIK;KIAA1671",-1.72844669044816e-19,0.999999999124734,1,"DOWN"
"163","WDFY3",-8.15426230983475e-20,0.999999999436344,1,"DOWN"
"164","RPL18A",0.0752323930615131,0.150875370705071,0.392830513552403,"UP"
"165","ATP13A1",0.0878555375262872,0.0173333391319827,0.140958963192424,"UP"
"166","ATP1A2",0.220101915074284,1.92412250070802e-05,0.00247861962136661,"UP"
"167","RPS25",0.0893147486762443,0.0570115961370049,0.238657109973814,"UP"
"168","ATP1B1",0.248642476625518,0.0383961976804181,0.20039562472616,"UP"
"169","4931406C07RIK;sp|Q91V76|CK054_MOUSE",0,1,1,"DOWN"
"170","ATP1B2",0.260708477026155,2.93244893870638e-05,0.00296805724724782,"UP"
"171","IDH3A",4.63857591442709e-15,0.99999985930714,1,"UP"
"172","THY1",0.0625524518699642,0.190050307569731,0.441115947299441,"UP"
"173","AIDA",-0.159637190969668,0.0301702277562586,0.178648121806305,"DOWN"
"174","PAFAH1B2",-4.73448099052401e-16,0.999999949764768,1,"DOWN"
"175","MYL6",-1.01921100339529e-18,0.999999998029292,1,"DOWN"
"176","FAM228B",0.0911959528032855,0.193726359300464,0.446316364002127,"UP"
"177","ALB",-0.551038475621378,0.0124096695883692,0.119990233361226,"DOWN"
"178","GALNT16",0,1,1,"DOWN"
"179","GRIK2",0.0927182954043591,0.0798064311916975,0.27922398271268,"UP"
"180","FMNL1",1.72199286000711e-17,0.999999991971706,1,"UP"
"181","ALDH1A1",-0.272804490838098,0.0225478836202601,0.157779511555104,"DOWN"
"182","ALDH7A1",-0.164788645995075,0.0345208950169695,0.189230592800951,"DOWN"
"183","XPOT",-2.5349603587158e-14,0.99999981568595,1,"DOWN"
"184","ATP1B3",0.0822847140785376,0.0144931279543117,0.12986738813747,"UP"
"185","TBCA",-0.0429415610169664,0.431250308733874,0.76194724124177,"DOWN"
"186","GSTZ1",0,1,1,"DOWN"
"187","ATP2B4",0.153596454411822,0.0454997527408808,0.218872435543263,"UP"
"188","DOCK4",0.0208498687018949,0.409346697902925,0.734698253234255,"UP"
"189","KIDINS220",0,1,1,"DOWN"
"190","DHRS7",0,1,1,"DOWN"
"191","MARK3",0,1,1,"DOWN"
"192","SORBS1",-1.98876843894586e-12,0.999993674666026,1,"DOWN"
"193","SYT7",0.0735963338599627,0.219559194015509,0.479791447734715,"UP"
"194","ATP5F1",0.18074172071888,0.0172883331533259,0.140958963192424,"UP"
"195","NLN",0.0663993683842548,0.138574279251631,0.374419253913396,"UP"
"196","TBC1D5",0.0160201992988609,0.573466190484015,0.95656455787622,"UP"
"197","MIPEP",5.55038610853138e-18,0.999999993623095,1,"UP"
"198","SEC24C",-0.0338100598167651,0.374905096988884,0.691269385079047,"DOWN"
