"","logFC","logCPM","LR","PValue","FDR"
"Gm13837",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm43161",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm42483",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm56277",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm34648",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm5871",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Igkv14-130",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm15763",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm42584",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm44238",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm13855",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm29848",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm38825",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Trbj1-6",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm26498",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"4933402C06Rik",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gtpbp4-ps6",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Vmn2r74",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm5155",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm45024",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm44633",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm17982",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm44649",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm34779",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm14382",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Acsm2",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Rpl23a-ps7",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
