"","logFC","logCPM","LR","PValue","FDR"
"Unc13b",-0.350828346375674,3.7346836455594,3.19835043759527,0.0737125836267651,0.387576944180217
"Id1",0.350683242717117,4.0067504587139,4.24125945735238,0.0394528893017231,0.292306011983841
"Syt7",-0.350642325729787,7.26709173833422,2.92435302689771,0.0872521931288517,0.40503993085797
"2310015A16Rik",0.350617610747919,-1.85135203820538,0.218161492671197,0.64044435341165,0.925191778306611
"Gm56503",0.350599102242286,-0.283156770144071,0.494079138392273,0.482113314941645,0.800892823235198
"Foxs1",0.350557205313889,0.215173519319547,0.595217873769322,0.440408462915828,0.763652753692947
"Slc28a1",0.350536302796968,-2.77730173584631,0.346049561961772,0.556357941369164,0.864832134042698
"Gbp10",-0.350505029241064,-1.97668964569064,0.231434161668385,0.630462452304355,0.917792424619724
"Ces1d",-0.350461053895371,-2.44148820123795,0.171071421263836,0.679161351929629,0.954969812928308
"Agfg1",-0.350443178572506,6.18702535308768,5.11765616816968,0.0236835843916303,0.239948230936594
"Junos",-0.350433247777115,0.544749086585689,2.11984186594993,0.145401556208046,0.515286718800799
"Gm28364",0.350390050061563,-3.03679530350726,0.172509184218608,0.677891376521476,0.954070242473695
"Tmx3",-0.350380888314276,6.41128785910408,4.72249687776131,0.0297704844976234,0.267581159828316
"Siglecl1",-0.350324634846662,-3.7186945062614,0.0983712646178851,0.753793004453584,1
"2810457G06Rik",0.350241939360673,-0.154499140946795,1.32987483874564,0.248827485318258,0.612171230334281
"Ipo4",0.350213605444747,5.21110630331277,3.02922961973497,0.0817768359466653,0.391149282676737
"Gm47112",-0.350211376039472,-1.8956220951398,0.588695996758812,0.442923812133137,0.765686862373069
"Wdsub1",0.350202253578827,3.60027648686184,4.90780341001779,0.0267356202750915,0.252541576589363
"Jarid2",-0.350183568838494,4.6628907087993,4.22084597087621,0.039930247847858,0.292990205206404
"Slc34a2",-0.350116395982341,-3.0393997375919,0.151672134588772,0.696942500863114,0.967665659334476
"Igkv12-44",0.350109086182547,-3.67878353429782,0.0924735903472858,0.761055739816292,1
"Bag3",0.350053985836838,5.86266258432033,2.6466266805726,0.103769889259578,0.432829646932531
"Dcaf1",-0.350005475527194,4.9132822092631,4.36151009944063,0.0367597059276605,0.288539288672059
"Gm45098",-0.350002544526578,-3.4161784938609,0.09636873245225,0.756231598390227,1
"Gm30373",0.349928163340093,-2.08568508201919,0.657486254267154,0.417448795215662,0.746287952097611
"Lefty2",0.349817635744023,-3.05994834290614,0.134128513277545,0.714189281249037,0.979962500845128
"Gm43379",-0.349815662654022,0.475593048517193,0.918241976877431,0.337936995498755,0.681815054323441
"Casp3",0.349781279947363,3.91941434025366,2.40707043322753,0.120788221375358,0.464453048065896
"Hapln4",-0.349762819772547,7.50731970244236,1.17810080527215,0.277742973232604,0.649723117164419
"Gm20056",0.349740495773598,-0.9343019776813,0.237150525480356,0.62627177295471,0.914565631062645
"Akr1b10",0.349681783621566,5.19652192550366,5.55815030048534,0.0183948397572799,0.216648500205354
"Ctdsp1",0.349603560532517,5.51921128614241,4.10591725488982,0.0427334052216833,0.302305816486463
